nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
34,3,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,518,688,33,519,688,30,2379,2879,7016,2,25,25
35,3,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,417,672,31,414,672,31,3420,10269,12199,1,4.4721360206604,4.4721360206604
35,3,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,375,671,34,371,673,32,2505,3295,7336,2,31.3209190368652,31.3209190368652
36,3,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,80,743,22,79,738,24,2274,2542,3134,1,26.1725044250488,26.1725044250488
36,3,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,129,804,29,130,804,26,2220,2590,8336,2,17.8885440826416,17.8885440826416
37,3,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,899,755,26,900,758,24,2157,3889,17485,1,25.5538654327393,25.5538654327393
37,3,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,938,807,25,936,801,25,2370,2402,7566,2,8.9442720413208,8.9442720413208
38,3,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,840,773,30,835,774,28,2101,5433,4127,1,23.7697277069092,23.7697277069092
38,3,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,778,812,32,779,817,34,2013,3173,3830,2,15.6204996109009,15.6204996109009
39,3,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,546,875,27,544,877,28,3146,14331,15340,1,10.7703294754028,10.7703294754028
39,3,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,521,813,28,521,813,31,2974,5906,3802,2,15.2315464019775,15.2315464019775
40,3,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,304,908,28,301,904,26,2523,3176,3319,1,11.1803398132324,11.1803398132324
