nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
71,14,1,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,265,92,23,260,92,21,2116,2328,8723,1
71,14,1,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,242,204,16,243,199,18,2093,1832,7865,2
72,14,2,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,490,323,18,484,322,17,2368,6555,16206,1
72,14,2,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,571,362,14,577,365,14,3517,15107,9336,2
73,14,3,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,672,533,19,670,532,20,3065,10016,14830,1
73,14,3,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,648,520,21,652,523,23,3133,6268,4320,2
74,14,4,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,498,637,13,495,638,14,3626,13092,15180,1
74,14,4,2,/Volumes/AM/iAM727/a488_014.tif,/Volumes/AM/iAM727/a594_014.tif,/Volumes/AM/iAM727/a488fret_014.tif,505,750,17,505,750,20,3118,11394,6739,2
76,15,1,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,301,104,19,299,103,19,4062,11900,17654,1
76,15,1,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,239,136,19,244,140,20,2400,2202,4535,2
77,15,2,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,358,320,23,355,322,25,2632,5574,10475,1
77,15,2,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,356,343,16,353,349,16,2136,2115,4148,2
78,15,3,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,648,530,21,645,533,19,2314,3075,16028,1
78,15,3,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,670,484,19,675,485,21,1924,2252,4330,2
80,15,5,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,681,735,18,678,731,16,2153,2780,11010,1
80,15,5,2,/Volumes/AM/iAM727/a488_015.tif,/Volumes/AM/iAM727/a594_015.tif,/Volumes/AM/iAM727/a488fret_015.tif,719,723,21,724,727,22,1928,1740,4149,2
82,16,1,2,/Volumes/AM/iAM727/a488_016.tif,/Volumes/AM/iAM727/a594_016.tif,/Volumes/AM/iAM727/a488fret_016.tif,352,153,27,350,149,29,3571,7518,7836,1
82,16,1,2,/Volumes/AM/iAM727/a488_016.tif,/Volumes/AM/iAM727/a594_016.tif,/Volumes/AM/iAM727/a488fret_016.tif,346,129,20,343,125,18,3301,3992,13898,2
84,16,3,2,/Volumes/AM/iAM727/a488_016.tif,/Volumes/AM/iAM727/a594_016.tif,/Volumes/AM/iAM727/a488fret_016.tif,176,283,22,174,283,24,4203,9351,10031,1
84,16,3,2,/Volumes/AM/iAM727/a488_016.tif,/Volumes/AM/iAM727/a594_016.tif,/Volumes/AM/iAM727/a488fret_016.tif,219,303,32,215,300,30,3436,3309,10376,2
89,17,1,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,865,259,27,861,262,25,2354,2658,11680,1
89,17,1,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,895,280,19,894,285,17,2067,2007,9441,2
90,17,2,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,473,248,21,470,244,19,3765,14598,4967,1
90,17,2,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,482,271,22,477,270,20,2756,6277,4608,2
91,17,3,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,220,303,17,226,305,17,2598,5884,5268,1
91,17,3,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,309,326,20,304,325,22,3152,9706,8336,2
92,17,4,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,429,511,17,432,512,19,3277,7646,10359,1
92,17,4,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,405,540,27,400,540,25,2496,3017,7754,2
94,17,6,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,269,661,15,273,662,17,2439,2231,11834,1
94,17,6,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,207,589,14,213,590,15,3314,13637,11063,2
96,17,8,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,173,871,19,169,872,20,3098,8759,9557,1
96,17,8,2,/Volumes/AM/iAM727/a488_017.tif,/Volumes/AM/iAM727/a594_017.tif,/Volumes/AM/iAM727/a488fret_017.tif,209,814,20,206,818,18,2719,8178,4391,2
97,18,1,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,599,198,17,594,202,16,2823,3439,12928,1
97,18,1,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,625,210,18,624,215,20,2804,2322,5470,2
98,18,2,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,257,269,15,257,274,13,2203,1914,10984,1
98,18,2,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,290,267,12,295,267,14,2461,3177,4142,2
99,18,3,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,784,387,21,782,386,23,3709,9482,14928,1
99,18,3,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,720,346,25,720,346,22,3422,4964,13332,2
100,18,4,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,401,495,14,397,493,13,3555,11813,10343,1
100,18,4,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,418,542,15,413,538,14,2473,2218,5008,2
102,18,6,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,694,698,17,690,701,15,3155,6396,10606,1
102,18,6,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,748,695,22,744,698,20,2400,2480,8259,2
103,18,7,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,549,885,15,547,888,13,3578,9093,11344,1
103,18,7,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,541,813,11,544,810,13,2239,2061,12338,2
104,18,8,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,46,909,17,41,905,17,3076,7206,10494,1
104,18,8,2,/Volumes/AM/iAM727/a488_018.tif,/Volumes/AM/iAM727/a594_018.tif,/Volumes/AM/iAM727/a488fret_018.tif,97,902,13,97,901,16,3917,16711,5985,2
