File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,version,xi,yi,zi,cell_ID,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm,G1,Allele,angle
1,tmr,15,576.9615742,905.6571308,24.16382736,4.162812273,2.682761362,8.759747321,0,0,7.0.2,577,906,24,8,2177.532183,0.441010147,2760.614335,0.558989853,2,0.55882341,-0.281927175,0.331192483,0,-1,
1,tmr,15,568.0709818,822.4037547,20.34202655,2.529578094,2.382757486,15.16068786,0,0,7.0.2,568,822,20,8,1564.422585,0.330406191,3170.460285,0.669593809,2,-0.63440592,-0.383569158,0.106380671,0,-1,
1,tmr,15,565.0774834,830.0482752,20.49999924,2.277517181,3.029456586,12.62913889,0,0,7.0.2,565,830,20,8,2587.495744,0.550929576,2109.100794,0.449070424,2,-0.534351095,-0.308424928,0.115673181,0,-1,
1,tmr,15,562.0902329,821.7814318,21.62675489,2.056512993,3.302422073,5.324080908,0,0,7.0.2,562,822,22,8,1809.101349,0.36946877,3087.46918,0.63053123,2,-0.658088833,-0.282165756,0.181952926,0,-1,
1,tmr,16,272.8836124,891.2631252,24.93742688,3.804222383,3.039344379,14.99945245,0,0,7.0.2,273,891,25,4,767.5841419,0.164850517,3888.623967,0.835149483,2,0.503636345,0.684972063,0.448903039,0,-1,
1,tmr,16,303.5356962,876.0185267,23.70174209,3.015187908,3.282000718,18.28777534,0,0,7.0.2,304,876,24,4,2069.725883,0.493644211,2122.917799,0.506355789,0,0.425282117,0.358090029,0.376215699,0,-1,
1,tmrfret,1,918,53,16,2.38638736,3.123303156,11.49284526,0,0,7.0.2,918,53,16,,,,,,,,,,,,
1,tmrfret,1,923.9280177,107.3331109,20.55552538,2.508111,3.369038575,5.417997562,0,0,7.0.2,924,107,21,,,,,,,,,,,,
1,tmrfret,2,681.2353597,162.4132049,19.54572679,4.712008664,2.940466411,23.2302298,0,0,7.0.2,681,162,20,9,1414.603149,0.277868041,3676.519233,0.722131959,2,0.633189626,0.309014998,0.081485406,0,0,
1,tmrfret,3,777.3353377,204.2110128,21.70268987,2.853507397,3.598632813,9.219523744,0,0,7.0.2,777,204,22,12,4289.193038,0.893581883,510.8069623,0.106418117,0,-0.341699617,0.00451814,0.225808635,0,1,122.6881478
